,card_detail,category,city,discount,max_discount_cap,title
340,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Multan,25%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
341,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Islamabad,20%,N/A,"Big  F -7, Markaz"
342,Alfalah American Express Card,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
343,Alfalah Mastercard Titanium Credit Card,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
344,Alfalah Pehchaan Account for Women,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
345,Alfalah Premier VISA Platinum Credit Card,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
346,Alfalah Premier VISA Signature Debit Card,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
347,Alfalah Ultra Cashback Card,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
348,Alfalah Visa Classic Credit Card,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
349,Alfalah Visa Gold Credit Card,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
350,Alfalah Visa Platinum Credit Card,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
351,Alfalah Visa Signature Debit Card,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
352,Bank Alfalah Debit Cards,Lifestyle,Islamabad,Upto 20%,N/A,"Big  F -7, Markaz"
353,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Sargodha,15%,N/A,"Up to 15% off

28-11-2022 to 31-12-2023"
354,Bank Alfalah Visa Platinum Credit Card,Dining,Sargodha,15%,N/A,"Up to 15% off

28-11-2022 to 31-12-2023"
355,Bank Alfalah American Express Card,Dining,Sargodha,15%,N/A,"Up to 15% off

28-11-2022 to 31-12-2023"
356,Bank Alfalah Mastercard Optimus Credit Card,Dining,Sargodha,10% ,N/A,"Up to 15% off

28-11-2022 to 31-12-2023"
357,Bank Alfalah Visa Gold Credit Card,Dining,Sargodha,10%,N/A,"Up to 15% off

28-11-2022 to 31-12-2023"
358,Bank Alfalah Ultra Cashback Card,Dining,Sargodha,10%,N/A,"Up to 15% off

28-11-2022 to 31-12-2023"
359,Bank Alfalah Visa Classic Credit Card,Dining,Sargodha,10%,N/A,"Up to 15% off

28-11-2022 to 31-12-2023"
360,Bank Alfalah Visa Signature Debit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
361,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
362,Bank Alfalah Premier VISA Signature Debit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
363,Bank Alfalah Visa Platinum Credit Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
364,Bank Alfalah American Express Card,Dining,Multan,Upto 10% off,Discount on selected services on all bank alfalah cards T&C Apply.,N/A
